1;29/9/2003;18;20;25;23;10;11;24;14;6;2;13;9;5;16;3;0;5;154;4645;48807;257593;49.765,82;689,84;10;4;2;0;0
2;6/10/2003;23;15;5;4;12;16;20;6;11;19;24;1;9;13;7;0;1;184;6232;81252;478188;596.323,70;1.388,95;10;4;2;0;0
3;13/10/2003;20;23;12;8;6;1;7;11;14;4;16;10;9;17;24;0;2;158;6897;96244;608211;400.623,70;2.173,36;10;4;2;0;0
4;20/10/2003;16;5;25;24;23;8;12;2;17;18;1;10;4;19;13;0;1;258;9569;123912;706657;902.226,02;1.498,72;10;4;2;0;0
5;27/10/2003;15;13;20;2;11;24;9;16;4;23;25;12;8;19;1;0;2;472;14736;195636;860992;380.017,55;687,49;10;4;2;0;0
6;3/11/2003;23;19;1;5;7;21;16;10;15;25;6;2;12;4;17;0;2;393;14242;162320;888301;489.140,06;1.066,83;10;4;2;0;0
7;10/11/2003;22;4;15;8;16;14;21;23;12;1;25;19;7;10;18;0;9;1333;25878;206828;967358;104.625,29;301,59;10;4;2;0;0
8;17/11/2003;19;16;18;9;13;8;5;25;17;10;6;15;1;22;20;0;1;256;11414;149037;926910;1.201.958,08;2.012,21;10;4;2;0;0
9;24/11/2003;21;4;17;5;3;13;16;9;20;24;25;19;11;15;10;0;3;407;14973;213511;1104328;336.053,65;1.061,60;10;4;2;0;0
10;1/12/2003;24;19;8;23;6;2;20;11;9;3;4;10;5;12;14;0;0;380;15767;207355;1186563;0;1.157,08;10;4;2;1.025.945,00;0
11;8/12/2003;24;9;8;19;20;22;6;10;11;16;7;25;23;2;12;0;0;306;14249;216679;1343171;0;1.855,82;10;4;2;2.351.000,93;0
12;15/12/2003;11;5;25;1;9;8;16;4;7;24;17;2;12;14;10;0;1;631;24400;322557;1607584;3.490.966,18;771,32;10;4;2;0;0
13;22/12/2003;13;6;10;5;8;14;3;11;16;15;9;17;19;7;23;0;3;714;27399;320961;1501354;269.157,25;482,84;10;4;2;0;0
14;29/12/2003;14;21;13;19;20;6;9;5;7;23;18;1;15;2;25;0;3;444;15413;214582;1149506;411.362,89;1.191,21;10;4;2;0;0
15;5/1/2004;23;6;21;4;10;24;16;1;15;2;8;19;12;18;25;0;22;2059;38038;379994;1198158;27.525,68;125,58;10;4;2;0;0
16;12/1/2004;24;17;5;8;7;12;13;2;15;10;19;25;23;21;6;0;9;1086;29005;329409;1471908;83.935,77;296,98;10;4;2;0;0
17;19/1/2004;13;20;17;1;6;7;2;14;5;9;16;19;3;21;18;0;1;320;14425;232740;1083387;1.427.169,94;1.911,39;10;4;2;0;0
18;26/1/2004;2;23;10;7;11;14;17;22;15;6;24;8;19;20;18;0;3;309;12373;174339;1079894;487.887,61;2.030,05;10;4;2;0;0
19;2/2/2004;15;17;10;23;11;24;13;14;6;2;8;5;20;16;7;0;10;818;23594;326913;1333412;82.040,05;428,2;10;4;2;0;0
20;9/2/2004;4;9;8;24;16;20;3;17;18;19;7;6;23;14;10;0;9;931;19580;266087;1462294;122.882,04;507,17;10;4;2;0;0
21;16/2/2004;5;2;1;22;19;8;24;4;25;23;18;20;14;11;16;0;3;316;13077;203475;1211951;530.990,23;2.160,45;10;4;2;0;0
22;25/2/2004;13;15;5;9;7;10;1;3;22;2;25;14;6;4;12;0;1;484;55372;152738;868693;1.081.149,89;957,34;10;4;2;0;0
23;1/3/2004;10;11;5;19;18;14;6;4;20;1;8;3;12;16;17;0;1;541;16248;215670;1187602;1.178.452,05;933,55;10;4;2;0;0
24;8/3/2004;1;19;21;14;2;23;25;5;20;11;7;10;24;17;3;0;2;585;22453;258724;1286374;662.295,89;970,4;10;4;2;0;0
25;15/3/2004;4;23;20;2;5;13;7;9;24;3;1;6;14;22;16;0;0;417;16108;213231;1288117;0;1.437,73;10;4;2;1.398.910,67;0
26;22/3/2004;19;11;7;16;8;21;5;10;20;13;23;9;17;14;22;0;3;602;22397;317722;1659205;970.676,17;1.077,21;10;4;2;0;0
27;29/3/2004;25;6;22;21;11;24;3;14;12;13;20;8;10;15;18;0;2;466;15650;216827;1192912;811.005,39;1.491,73;10;4;2;0;0
28;5/4/2004;18;21;11;7;9;3;20;16;14;12;13;17;1;19;10;0;2;556;22300;307113;1363336;536.916,65;827,73;10;4;2;0;0
29;12/4/2004;13;14;6;1;24;4;8;5;17;22;21;19;20;9;16;0;5;456;14375;181147;1203109;317.538,81;1.492,19;10;4;2;0;0
30;19/4/2004;22;2;1;17;8;4;19;20;11;14;6;21;7;23;3;0;2;345;13480;184916;1136035;813.271,34;2.020,55;10;4;2;0;0
31;26/4/2004;1;3;22;14;21;17;24;15;20;13;2;19;4;25;9;0;3;250;13005;189635;1161305;503.451,70;2.589,18;10;4;2;0;0
32;3/5/2004;10;14;9;16;15;7;22;6;4;2;1;17;23;11;20;0;2;384;14060;199525;1175480;706.634,89;1.577,31;10;4;2;0;0
33;10/5/2004;8;20;12;16;10;21;5;2;23;19;11;24;1;14;7;0;9;1358;35450;328729;1417927;109.171,84;308,91;10;4;2;0;0
34;17/5/2004;7;19;16;10;23;4;18;11;8;9;20;21;1;2;15;0;0;407;16589;216210;1359006;0;1.381,20;10;4;2;1.311.675,01;0
35;24/5/2004;12;1;13;23;19;21;17;11;22;6;25;16;14;5;4;0;1;291;12750;191524;1338198;3.155.820,04;2.715,98;10;4;2;0;0
36;31/5/2004;7;23;10;20;1;21;4;8;11;19;17;22;24;14;5;0;6;1573;40526;453277;1414816;92.828,37;151,18;10;4;2;0;0
37;7/6/2004;24;20;5;15;10;22;21;3;1;23;11;4;13;8;9;0;1;283;11976;182815;1220504;1.371.528,32;2.077,02;10;4;2;0;0
38;14/6/2004;14;13;8;16;1;10;3;7;15;25;9;2;24;6;22;0;0;298;12361;181763;1122407;0;2.240,91;10;4;2;1.558.182,50;0
39;21/6/2004;14;15;7;19;8;9;22;17;23;18;2;11;24;13;21;0;3;915;31607;352332;1626512;888.003,60;516;10;4;2;0;0
40;28/6/2004;10;17;16;12;14;24;8;7;5;20;21;1;13;2;22;0;9;650;20792;266561;1331593;129.462,67;765,33;10;4;2;0;0
41;5/7/2004;25;4;23;18;17;19;15;13;9;3;12;20;21;16;2;0;5;431;16555;218669;1304019;285.091,61;1.417,43;10;4;2;0;0
42;12/7/2004;1;24;12;25;4;3;21;8;11;6;15;22;14;17;5;0;1;351;14288;205537;1065540;1.731.431,15;2.114,08;10;4;2;0;0
43;19/7/2004;23;22;3;17;1;24;14;19;8;6;9;18;20;7;10;0;2;448;31225;257520;1394077;550.553,79;1.053,36;10;4;2;0;0
44;26/7/2004;23;21;12;19;5;4;6;13;14;10;3;18;24;11;25;0;0;334;12675;172526;1140441;0;2.056,93;10;4;2;1.603.036,94;0
